	day30_rep3_tbx5_ge	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
LOC124902141	17	14	20	27	26
B4GALT1-AS1	12	11	9	13	11
SPINK4	1	2	1	1	0
BAG1	2242	1453	1425	3435	3305
CHMP5	4132	1241	1439	3017	2833
NFX1	2176	1090	1425	2480	2316
LOC105376018	1	1	0	1	0
LOC124902142	3	0	1	0	1
AQP7	3	38	8	12	22
LOC105376020	0	0	0	0	0
AQP3	302	41	892	202	103
NOL6	4698	1320	2948	1302	2587
MIR6851	0	0	0	0	0
LOC107987061	6	0	0	1	0
SUGT1P1	11	14	21	29	26
ANKRD18B	58	86	155	61	149
ANXA2P2	508	271	521	148	298
PTENP1	27	54	51	85	78
PTENP1-AS	7	8	28	31	20
LOC124902143	5	8	36	8	21
UBE2R2-AS1	5	3	6	3	2
PRSS3	3	5	7	4	2
UBE2R2	4942	2356	3405	2514	3211
UBAP2	2118	912	1831	1640	1765
SNORD121B	0	0	0	0	0
SNORD121A	0	0	1	1	1
DCAF12	4064	1028	1541	1510	1988
UBAP1	4516	1189	1743	3327	3824
LOC114224	3	0	0	6	7
KIF24	56	70	155	220	209
NUDT2	412	459	450	494	553
MYORG	521	198	444	285	417
C9orf24	19	3	12	18	12
LOC124902144	26	2	12	30	15
FAM219A	2550	1464	1967	1113	1071
LOC124902145	3	0	0	1	0
DNAI1	10	10	1	15	10
ENHO	46	38	8	84	29
CNTFR	64	222	322	807	238
CNTFR-AS1	0	1	0	0	0
LOC105376023	1	2	6	4	4
RPP25L	853	511	310	867	820
DCTN3	3055	1792	1660	2239	2385
ARID3C	5	2	5	1	2
SIGMAR1	1183	1982	1785	1136	1655
GALT	256	811	539	660	807
IL11RA	413	2915	673	839	1373
CCL27	3	8	8	13	10
LOC730098	30	66	64	133	121
PHF24	212	152	210	424	315
LOC124902146	20	33	16	32	36
CCL19	5	0	2	2	2
CCL21	3	27	34	70	37
SPATA31F1	8	2	1	1	5
SPATA31F2P	6	1	4	0	0
SPATA31F3	0	0	2	1	0
DNAJB5-DT	18	0	0	5	4
DNAJB5	807	1455	2062	3490	3220
LOC105376025	45	5	6	19	16
C9orf131	43	2	5	13	11
VCP	31843	8982	15466	13474	15342
FANCG	374	326	768	428	366
PIGO	791	587	637	557	678
STOML2	5042	1830	2756	3161	2697
ATOSB	1439	1004	2375	658	1045
LOC124902147	1	0	2	3	3
UNC13B	1617	1378	1397	1996	2202
ATP8B5P	5	3	2	7	7
RUSC2	2774	3235	3938	1442	3191
LOC105376026	3	9	7	3	12
FAM166B	5	5	11	3	4
TESK1	1503	822	1012	1070	1217
MIR4667	0	0	0	0	0
CD72	79	13	9	32	30
LOC124902148	3	0	1	0	1
LOC101926948	8	0	0	0	1
SIT1	4	2	2	2	4
RMRP	20	15	14	35	49
CCDC107	112	82	90	244	248
ARHGEF39	24	49	101	120	110
CA9	2	51	9	49	34
TPM2	11047	24198	30027	23131	24366
TLN1	24484	12557	23357	12736	20565
MIR6852	0	0	0	0	0
CREB3	5883	1695	3033	2245	2317
MIR6853	0	0	0	0	0
GBA2	3227	2038	2280	3948	4316
RGP1	2759	1287	1939	1227	1925
MSMP	0	0	0	0	0
NPR2	653	340	331	255	257
SPAG8	6	33	15	52	50
HINT2	400	405	400	617	643
FAM221B	3	2	2	8	6
TMEM8B	272	694	227	730	928
OR13J1	0	0	0	0	1
LOC124902149	0	2	0	0	0
HRCT1	0	27	4	9	15
SPAAR	0	3	1	1	0
OR2S2	2	2	1	0	0
RECK	395	3755	1232	290	1038
GLIPR2	1661	3123	6560	1595	2626
CCIN	9	6	22	6	17
CLTA	8030	3829	6760	3724	4931
LOC124902151	98	100	102	143	169
GNE	815	502	753	569	762
LOC124902150	36	10	13	7	17
LOC102724322	89	14	23	34	47
RNF38	1982	563	1178	1736	1656
LOC124902152	16	1	9	13	4
MELK	186	127	984	552	448
LOC105376030	0	0	0	0	0
MIR4475	0	0	0	0	0
PAX5	21	0	8	49	0
MIR4540	0	0	0	0	0
MIR4476	0	0	0	0	0
LOC105376032	0	1	0	0	0
LOC105376031	2	0	0	0	0
EBLN3P	2702	1145	1185	1157	1733
LOC105376034	4	2	0	0	1
ZCCHC7	1061	457	492	554	775
LOC105376033	13	9	16	7	10
LOC124902153	31	7	11	16	16
LINC01627	1	0	0	1	0
LOC124902154	2	2	2	0	0
LOC105376035	12	4	4	7	7
GRHPR	2121	3093	2862	3811	3933
ZBTB5	1923	489	580	842	936
POLR1E	873	652	841	602	848
FBXO10	1158	917	931	688	1020
TOMM5	2834	1659	2259	2177	2051
FRMPD1	13	125	19	11	31
TRMT10B	508	359	371	545	529
EXOSC3	993	346	613	667	603
LOC105376037	14	13	15	24	24
DCAF10	1726	831	971	1623	2115
SLC25A51	359	276	352	438	566
SHB	1705	1500	2297	1766	2091
LOC105376039	7	27	23	11	12
LOC124900277	0	0	0	0	0
LOC124902348	0	0	0	0	0
LOC107987064	0	0	1	0	0
LOC107987065	6	0	0	1	4
LOC105376040	1	0	0	0	0
ALDH1B1	771	746	2106	1526	2083
IGFBPL1	138	83	166	1090	269
LOC105376041	18	10	18	19	11
LOC124902155	2	3	6	5	5
LOC105376042	0	4	0	3	0
FAM95C	12	28	7	175	316
ANKRD18A	51	40	24	657	781
FAM201A	16	8	13	92	77
LOC124902156	0	0	0	0	0
FAM240B	0	0	0	0	0
LOC105376043	2	0	1	0	0
LOC105376044	0	0	0	0	0
LOC124902157	1	0	2	1	4
CNTNAP3	28	72	76	347	547
LOC105376045	0	0	0	0	0
SPATA31A1	0	0	3	0	0
FAM74A1	0	0	0	0	0
ZNF658B	34	43	27	83	63
GLIDR	70	88	67	242	237
FGF7P3	15	13	12	47	45
FAM88D	0	0	0	0	1
LOC105376050	0	0	0	1	2
LOC124902158	0	0	0	1	0
LOC107986992	1	0	0	2	1
LOC112268033	0	0	0	0	0
LOC102724431	4	0	0	0	0
LOC105369249	0	0	0	0	0
ANKRD20A2P	1	4	1	9	1
FAM95B1	0	0	0	0	0
GXYLT1P3	0	0	1	2	0
LOC124902159	0	0	0	0	0
LOC107986995	0	0	0	0	0
LOC124902160	0	0	0	0	0
LOC102724580	0	0	0	0	2
BMS1P14	2	2	9	4	2
LOC107984006	5	20	19	22	14
LOC107986993	0	0	0	0	0
LOC100132004	0	0	0	2	1
MIR1299	0	0	0	0	0
LOC107986997	17	10	8	37	46
FRG1HP	152	154	139	248	236
PGM5P2	53	30	27	36	82
LOC124902161	7	4	0	9	10
LOC105376058	8	0	2	2	9
LINC03025	10	0	4	4	1
FOXD4L6	6	2	0	0	1
ZNG1F	217	37	80	130	122
MIR4477A	0	0	0	0	0
LOC124902162	1	0	2	0	0
LOC124900272	8	17	15	41	33
LOC107984035	15	62	26	78	79
LOC105376065	11	1	6	21	20
LOC101928906	1	1	1	6	1
FAM27E2	0	0	0	1	0
FAM242F	0	1	0	0	0
LOC107987000	2	5	7	8	3
LOC105376063	4	6	6	6	11
LOC124902163	3	1	1	1	0
CNTNAP3B	8	41	23	63	200
SPATA31A6	0	0	3	0	0
FAM74A7	0	0	0	1	0
LOC112268036	0	0	0	0	0
FAM88E	12	7	5	29	19
LOC101927827	0	0	0	0	0
XLOC_007697	0	0	0	0	0
LOC102724818	0	0	0	0	0
LOC112268044	4	4	6	1	0
LOC105376067	1	0	0	0	0
LOC102724904	1	0	0	0	0
LOC105379434	0	0	0	0	0
SPATA31A5	0	0	0	0	0
FAM74A6	0	0	0	0	0
LOC107984126	0	0	0	0	0
LOC105379249	0	0	0	0	0
SPATA31A7	1	0	1	0	0
LOC124902165	0	0	0	0	0
FAM74A4	0	0	0	0	0
LOC105379435	0	0	0	0	0
CNTNAP3C	1	4	4	11	27
LOC105379437	4	1	0	0	0
FAM242D	0	0	0	0	0
FAM27C	9	11	6	9	6
FAM27E4	15	19	15	19	13
LOC105379807	0	0	0	0	0
LOC102723678	0	2	1	5	2
FAM242E	0	0	0	0	0
LOC107987007	15	10	4	10	10
LOC107987008	3	0	0	2	1
LOC105379439	0	0	0	0	0
LOC105379263	1	0	0	0	0
LOC124902168	0	0	0	0	0
FAM88C	0	0	1	1	0
FGF7P6	9	3	9	5	9
LINC01189	0	0	0	0	0
FAM88F	1	10	9	0	0
LOC107987020	10	0	11	9	13
LINC01410	0	2	0	2	2
LOC100132249	4	3	2	20	5
PTGER4P2-CDK2AP2P2	4	0	2	0	0
LERFS	0	1	0	1	1
FAM88B	16	23	16	44	48
LOC107987004	0	0	1	0	0
LOC107987003	0	1	10	6	7
LOC286297	0	0	0	0	0
LOC105379814	0	0	0	0	1
AQP7P1	0	2	4	3	1
LOC100996643	7	0	3	1	2
LOC105379442	0	0	0	0	0
LOC107987009	0	0	1	0	0
LOC124902167	1	5	0	0	0
LINC00537	20	9	16	17	12
MIR4477B	1	2	0	1	0
FRG1JP	2	1	3	5	1
FLJ43315	1	0	1	0	0
LOC124902333	0	0	0	0	0
ANKRD20A4-ANKRD20A20P	7	7	7	7	4
LOC105379257	0	0	1	0	0
LOC101929583	0	0	0	0	0
LOC107987067	0	2	3	3	3
LOC124902169	2	3	2	9	16
LOC107987068	0	0	0	0	0
LOC100132154	0	1	2	5	1
LOC102724507	3	0	0	0	0
LOC105379443	0	0	1	0	0
LOC112268045	0	0	0	0	0
FOXD4L5	2	1	3	0	1
LOC105379444	0	1	0	0	1
LOC107987069	0	2	0	0	0
LOC105379446	0	0	0	0	0
LOC124902170	0	1	0	4	0
LOC105379447	1	0	0	0	0
ZNG1E	1134	201	404	270	270
FOXD4L4	4	1	1	1	0
LOC101928381	1	0	0	0	0
LOC124902171	0	0	0	0	2
LOC107987071	1	1	2	4	7
LOC101928195	0	0	1	0	0
LOC112267859	0	0	0	0	0
AQP7P3	0	0	1	1	0
LOC105379252	0	0	0	0	0
ANKRD20A3P	0	0	1	2	0
LOC642929	4	0	2	1	0
LOC107987073	0	0	0	0	1
LOC105379448	0	1	1	4	1
LOC124902172	2	0	0	0	0
ZNF658	105	86	88	205	172
FAM74A3	1	0	1	0	0
SPATA31A3	2	0	1	0	0
LOC105379450	0	0	0	0	0
CNTNAP3P2	13	47	29	43	54
LOC101927602	0	0	0	1	0
LOC105379451	0	0	0	0	0
LOC105379452	0	0	0	0	0
LOC105379453	0	0	0	0	0
LOC102723709	2	0	1	1	0
FAM27E3	23	36	6	48	31
FAM27B	16	14	21	18	13
LOC101928608	4	0	2	2	1
ANKRD20A1	4	1	3	4	1
ZNG1C	101	14	40	49	35
LOC124902173	9	0	2	3	5
FOXD4L3	8	0	0	0	3
LOC107987077	0	0	2	0	0
LOC101929800	0	0	0	0	0
LOC102723624	0	0	0	0	0
PGM5-AS1	7	16	4	36	44
PGM5	563	1275	489	3105	4354
LOC105376070	2	6	2	7	13
LOC124902174	1	1	3	5	2
TMEM252	1	9	6	33	42
TMEM252-DT	0	0	0	0	0
LINC01506	2	0	1	0	0
LOC105376071	0	0	0	1	1
PIP5K1B	325	531	194	356	451
PABIR1	967	756	718	762	1180
LOC101927069	14	11	81	9	16
PRKACG	6	0	1	2	1
FXN	177	244	324	487	450
TJP2	1821	1251	1819	2814	2721
LOC124902175	4	0	1	2	1
LOC124902176	0	3	2	17	17
BANCR	90	554	44	2830	3478
ENTREP1	408	545	227	1960	1786
LOC124902177	0	0	1	0	0
APBA1	95	237	137	358	447
LOC124902178	0	2	0	0	1
PTAR1	2470	757	1186	2075	2728
LOC105376076	6	7	4	9	7
CFAP95-DT	0	0	0	0	0
CFAP95	1	3	1	3	3
LOC124902179	3	2	2	1	2
MAMDC2	2425	670	304	68	199
MAMDC2-AS1	1	2	4	1	4
SMC5-DT	33	44	45	4	31
SMC5	2528	712	1567	1737	2400
KLF9	155	275	87	303	365
LOC124900273	12	1	3	4	2
KLF9-DT	1	0	0	0	0
LOC105376079	1	0	0	0	1
TRPM3	14	5	10	38	84
LOC107984011	2	25	3	11	20
LOC105376078	4	0	3	1	1
MIR204	0	0	0	0	0
LOC107987078	0	0	1	0	0
LOC124902180	0	0	0	0	0
LOC107987079	1	0	0	1	0
CEMIP2	4694	2084	10721	3481	4107
ABHD17B	912	562	893	819	1054
C9orf85	535	461	378	356	493
LOC101927108	7	0	2	0	8
C9orf57	0	0	0	0	0
GDA	5	3	4	8	8
LINC01504	18	46	17	4	19
ZFAND5	7507	3952	5545	7872	8848
LOC105376080	3	0	4	0	0
TMC1	7	2	4	4	0
LOC101927234	1	1	3	0	1
LOC124902347	0	0	0	0	0
LOC101927191	0	0	1	1	0
LOC124902181	1	0	1	0	2
LINC01474	0	0	0	2	3
ALDH1A1	81	33	100	10	86
LOC105376081	0	0	0	0	0
ANXA1	19565	6762	9615	2176	7133
LOC105376082	1	0	0	0	0
LOC101927281	3	0	0	0	0
LOC124902182	0	0	0	0	0
LOC105376084	17	11	3	45	32
LOC105376083	0	0	0	0	0
LOC105376085	4	2	0	0	0
LOC105376086	1	0	0	0	0
LOC101927329	3	0	0	0	0
LOC105376087	0	0	0	0	0
LOC101927358	0	0	0	0	0
RORB-AS1	0	3	0	2	3
RORB	11	106	19	107	46
LOC105376088	0	0	0	0	0
TRPM6	22	7	26	3	6
C9orf40	353	95	259	232	201
CARNMT1-AS1	5	0	6	8	7
CARNMT1	416	381	572	539	820
NMRK1	146	131	133	73	128
OSTF1	835	686	988	296	512
LOC105376090	2	0	0	1	0
LOC105376091	0	0	0	0	0
PCSK5	2062	960	1911	166	627
LOC124902183	2	0	0	0	0
RFK	1249	339	1220	821	968
GCNT1	606	559	1417	19	389
RPSAP9	52	22	20	24	19
LOC124902184	2	0	1	0	2
LOC105376093	2	2	2	0	2
LOC105376095	5	4	10	2	5
PRUNE2	61	313	380	436	685
PCA3	0	1	1	0	0
FOXB2	2	0	1	0	0
LOC105376096	0	0	0	0	0
VPS13A-AS1	1	0	0	0	0
VPS13A	1199	1048	998	2509	2908
GNA14	4	2	44	13	34
GNA14-AS1	2	0	0	0	0
LOC124902185	0	0	0	0	0
GNAQ	2682	2245	3513	3017	3816
LOC107987081	14	2	5	14	6
LOC107987031	5	0	0	0	1
CEP78	550	644	1394	1141	991
PSAT1	1109	8770	1568	1211	3237
LOC107987083	4	1	1	0	0
LOC105376097	3	0	0	0	0
LOC101927450	0	0	1	0	0
LOC124902186	5	0	1	0	1
LOC124902328	0	0	0	0	0
LNCARSR	2	0	0	3	0
TLE4	2525	1044	1478	1255	2101
LOC124902329	8	0	4	1	0
LINC01507	0	2	0	0	1
LOC105376101	2	0	0	1	0
LOC105376100	0	0	0	0	0
LOC105376099	0	0	1	0	0
LOC105376103	0	0	0	0	0
LOC105376105	0	0	1	0	0
LOC107987085	1	0	0	0	0
LOC107987084	0	0	0	0	0
TLE1	1856	935	2314	797	756
LOC105376106	1	0	2	0	0
TLE1-DT	6	4	6	2	4
LOC105376108	0	0	0	1	0
LOC124900283	0	0	0	0	0
LOC124902187	0	0	0	0	0
SPATA31D5P	1	0	0	0	0
SPATA31D4	0	0	0	0	0
SPATA31D3	1	0	1	0	0
LOC105376107	0	0	1	1	0
SPATA31D1	0	0	3	0	0
LOC112268046	0	0	0	0	0
LOC107987086	0	0	0	0	0
LOC107987087	1	0	0	1	0
LOC105376110	3	2	2	0	1
LOC124902188	5	0	3	4	0
LOC124902189	0	0	0	0	0
RASEF	44	0	103	45	30
FRMD3-AS1	5	5	7	84	65
FRMD3	185	370	220	3243	2042
LOC124902190	2	11	15	36	36
LOC124902346	0	0	0	0	0
IDNK	85	63	41	199	101
UBQLN1	7687	1643	3442	5868	5503
UBQLN1-AS1	131	44	52	105	89
LOC124902191	8	4	1	32	24
GKAP1	390	116	77	701	464
LOC101927552	4	0	0	0	4
KIF27	112	88	93	162	218
LOC124900638	3	0	1	0	1
LOC105376335	0	0	0	0	1
QNG1	518	133	287	121	150
HNRNPK	21309	10466	17555	20663	20042
MIR7-1	20	15	19	30	29
RMI1	125	154	260	585	475
LOC101927575	5	0	1	0	1
SLC28A3	22	340	51	501	705
SLC28A3-AS1	0	0	0	1	2
LOC102724036	6	16	3	1	1
LOC124902192	0	0	0	0	0
NTRK2	301	1653	405	949	1109
LOC124902193	0	0	0	0	0
LOC105376118	1	0	0	0	0
LOC107987088	1	0	0	0	0
LOC105376119	0	0	0	0	0
LOC124902322	0	0	0	0	0
LOC105376121	0	0	0	0	1
LOC101927603	4	2	7	7	2
AGTPBP1	269	397	692	1299	1060
LOC389765	187	53	65	183	149
NAA35	2063	659	1110	1843	1730
GOLM1	2533	2174	4078	1774	2961
LOC101927623	2	3	1	4	3
C9orf153	7	0	0	5	4
ISCA1	1224	780	732	1767	1730
LOC124902194	7	1	3	8	7
TUT7	2328	639	895	1069	1571
LOC102724080	2	0	4	0	0
LOC105376123	2	0	1	0	0
LINC02834	0	0	0	0	1
LOC124902195	1	0	2	0	4
GAS1	740	5150	2252	281	4354
GAS1RR	12	53	9	7	50
LINC02893	33	43	33	36	43
LOC124902196	3	0	0	1	0
NFYCP2	0	0	1	0	1
LOC124902197	0	0	0	1	0
LINC02872	1	1	2	2	4
LOC105376126	5	3	4	7	6
LOC105376127	2	0	2	0	1
DAPK1	2576	8271	3241	1626	4707
DAPK1-IT1	2	0	1	2	1
CTSL	6819	2467	2487	1180	2250
LOC124902198	0	0	0	0	0
CTSL3P	0	0	0	0	0
LOC112267903	0	0	0	0	0
CTSLP8	0	0	0	0	0
NPAP1P9	0	0	0	2	0
LOC107987091	0	1	1	0	0
LOC497256	0	0	0	0	0
LOC124902199	7	5	7	2	9
SPATA31E1	1	2	8	0	0
SPATA31C1	1	1	1	0	0
LOC122394732	1	0	1	1	1
CDK20	350	179	171	212	250
LOC124902200	11	6	5	4	1
LOC105376131	4	1	1	6	3
LOC124902201	4	2	2	3	4
LINC03026	0	0	0	0	0
LOC124902202	0	0	0	0	0
LOC124902203	0	0	0	0	0
SPATA31C2	3	2	2	0	0
LOC124902204	196	127	118	144	217
SPIN1	3595	2106	3289	3354	4544
LOC105376134	2	1	5	3	4
NXNL2	13	34	4	12	16
LINC02843	2	0	0	0	0
LOC105376135	0	0	0	0	0
MIR4289	0	0	0	0	0
LOC124902205	0	0	0	0	0
S1PR3	1692	1001	2999	1088	1304
SHC3	15	17	28	267	254
LOC124902206	0	0	0	0	0
LOC105376136	121	50	51	49	74
CKS2	2048	222	1070	1053	692
MIR3153	8	1	9	5	4
SECISBP2	896	541	1136	1238	1118
SEMA4D	455	174	139	507	414
LOC105376137	2	0	0	1	0
LOC124902207	0	0	0	0	0
LOC105376139	11	6	10	30	10
GADD45G	2130	381	1116	2487	1421
LINC03062	0	0	0	4	1
LOC105376140	1	0	0	2	0
LOC107987032	0	0	0	0	0
LOC101927823	0	7	4	3	2
LOC101927847	0	0	0	0	0
MIR4290HG	1	0	0	0	0
MIR4290	1	0	0	0	0
LOC105376142	0	0	0	0	0
LINC01508	97	13	26	22	10
LINC01501	0	2	6	1	2
DIRAS2	22	123	34	380	508
SYK	38	0	25	14	34
LOC105379829	0	3	2	16	4
LOC105376143	0	0	0	0	0
LINC02957	0	0	0	0	0
LOC100129316	14	0	0	5	0
LINC02937	0	0	1	2	2
LINC00484	0	0	0	1	0
LOC124902208	6	7	11	13	7
AUH	651	496	333	1064	1144
NFIL3	868	622	813	1151	1281
LOC124902209	0	1	0	0	0
LOC105376146	0	6	10	8	7
MIR3910-1	0	0	0	0	0
MIR3910-2	0	0	0	0	0
ROR2	1240	1938	1355	928	1829
LOC124902210	13	4	5	11	7
LOC105376148	1	0	0	0	0
LOC107987094	4	0	0	0	0
SPTLC1	4507	1679	2465	1767	2642
LOC100128076	3	6	5	1	0
LINC00475	1	2	5	3	7
LOC124902345	1	1	3	0	0
LOC112268048	0	0	1	0	0
IARS1	5948	8110	5184	5865	8405
MIR3651	0	0	0	0	0
SNORA84	0	1	0	0	0
NOL8	1035	680	866	1555	1472
CENPP	106	77	96	96	115
OGN	6	15418	15	76	2559
OMD	2	34	0	1	10
ASPN	8	5574	35	3783	2089
ECM2	2	113	4	10	71
MIR4670	0	0	0	0	0
IPPK	476	152	311	183	285
LOC100128361	0	0	0	0	0
LOC107987095	24	19	22	23	26
BICD2	3094	1403	2353	1825	2667
LOC101929748	7	0	2	1	2
LOC124902211	17	3	0	0	0
ANKRD19P	142	45	11	22	35
ZNF484	293	110	201	271	282
LOC642943	1	0	5	0	0
FGD3	23	73	25	75	18
LOC101927954	4	1	1	1	0
SUSD3	6	110	12	0	11
LOC101927993	0	0	0	0	0
CARD19	719	577	672	499	613
NINJ1	1356	890	973	392	819
LOC124902212	5	3	8	5	4
LOC124902213	0	0	0	0	0
WNK2	170	1167	102	1840	3421
LOC124902214	0	0	0	0	3
FAM120A2P	11	1	3	7	1
LOC107987097	131	30	39	263	212
FAM120AOS	1757	1208	1467	1684	1917
FAM120A	3017	1879	2310	2268	3739
PHF2	1721	1485	1624	1979	2315
MIR548AU	0	0	0	0	0
LOC124902215	12	8	26	14	20
MIR4291	0	0	0	0	0
LOC101928014	0	0	0	0	0
BARX1	21	3	8	6	0
LOC124902216	6	0	8	3	1
BARX1-DT	0	0	0	0	0
PTPDC1	132	257	264	195	289
LOC107987099	0	0	0	0	1
MIRLET7A1HG	64	8	11	21	28
MIRLET7A1	0	0	0	0	0
MIRLET7F1	1	2	1	0	3
LINC02603	50	42	57	62	82
MIRLET7D	10	5	12	16	14
LOC124902342	1	0	0	1	0
ZNF169	51	43	41	73	68
LOC105376154	14	9	5	10	3
NUTM2F	92	24	31	4	1
LOC124902217	61	38	35	4	7
LOC100132077	40	31	24	5	1
MFSD14B	2147	1209	2278	1558	1743
LOC107987100	53	1	19	4	9
LOC124902218	53	25	23	8	23
PCAT7	246	188	67	58	118
FBP2	41	29	8	6	12
FBP1	17	5	3	1	7
LOC124902219	1	0	2	0	0
LOC107987101	3	5	8	1	0
AOPEP	693	1531	2035	2890	3219
LOC124902220	0	0	0	0	0
MIR2278	0	0	0	0	0
LOC101928119	2	2	2	2	2
MIR6081	1	0	0	1	0
MIR23B	4	16	3	5	8
MIR27B	3	9	7	11	19
MIR3074	0	0	0	0	0
MIR24-1	0	0	0	0	0
FANCC	422	377	404	339	367
LOC107987102	8	5	5	14	11
LOC124902339	0	0	0	0	0
LOC105376155	5	13	3	5	7
LOC105376156	50	41	45	69	58
PTCH1	864	1710	1531	1128	626
LOC100507346	1	4	5	2	0
LOC105376157	0	1	0	0	0
LOC105376158	0	0	0	0	0
LOC105376161	0	0	5	0	1
ERCC6L2-AS1	183	146	133	347	303
LOC107987103	0	1	0	0	1
LOC124902221	5	0	3	4	2
ERCC6L2	667	692	717	1201	1418
LINC00092	4	0	3	1	0
LOC105376159	0	1	1	1	0
LOC158435	2	1	1	6	4
LOC158434	0	0	1	0	1
LOC112268039	2	0	1	3	0
LOC107987033	1	0	0	0	0
SLC35D2-HSD17B3	8	0	1	1	3
HSD17B3	0	0	0	0	0
HSD17B3-AS1	0	0	0	2	1
SLC35D2	64	15	22	15	15
ZNF367	111	164	207	459	474
HABP4	1982	1421	2157	3168	3214
CDC14B	833	944	726	1991	2169
LOC105376163	1	0	1	2	0
PRXL2C	652	205	535	478	560
LOC441455	3	3	0	3	2
ZNF510	594	203	334	730	596
ZNF782	188	81	125	144	161
LOC100132781	0	0	0	2	2
PTMAP11	8	14	18	20	37
NUTM2G	134	81	99	28	55
MFSD14CP	336	182	276	238	282
CTSV	1727	742	2305	913	761
GAS2L1P2	5	16	11	14	28
LOC107987104	3	3	1	7	3
LOC105376166	4	2	4	1	7
LOC112268050	1	2	6	6	8
ANKRD18CP	8	7	13	34	39
LOC107987025	1	2	1	9	5
LOC124902224	0	0	1	1	6
SUGT1P4-STRA6LP-CCDC180	0	0	2	0	0
SUGT1P4-STRA6LP	6	15	15	7	11
CCDC180	1	5	0	3	3
MIR1302-8	1	0	0	3	0
LOC286359	0	0	0	0	0
TDRD7	689	161	226	381	345
TMOD1	449	1485	368	6614	5470
LOC105376168	0	0	0	4	1
TSTD2	662	513	534	985	995
NCBP1	1611	928	1681	2244	2276
XPA	540	315	330	843	792
PTCSC2	3	0	3	0	0
FOXE1	42	10	31	7	9
TRMO	619	170	171	327	295
HEMGN	4	1	0	0	1
LOC124902226	1	2	3	3	3
ANP32B	3001	2330	3781	2122	2620
LOC124902225	7	11	11	9	4
TRIM14	348	199	173	34	137
LOC124902227	0	1	0	0	1
NANS	3350	509	728	366	760
CORO2A	299	328	623	27	81
TBC1D2	609	172	174	76	436
MIR6854	0	0	0	0	0
GABBR2	38	7	67	77	43
LOC124902228	0	0	0	0	0
ANKS6	1234	923	1091	398	905
LOC124902229	0	1	0	3	3
GALNT12	33	193	168	40	272
LOC102724684	0	0	0	0	0
ADIPINT	7	0	0	2	2
COL15A1	61	1778	327	135	2491
TGFBR1	4428	4558	12865	1701	5070
LOC105376174	5	3	3	1	1
ALG2	5556	1157	1518	1383	1864
SEC61B	10482	2659	4259	1790	2734
LOC124902230	44	3	11	8	6
LOC124902231	7	0	0	0	1
NAMA	4	0	1	2	2
LOC124902232	1	0	0	0	0
LOC107987011	7	5	2	11	11
LOC124902236	5	1	0	3	6
LOC124902233	0	0	0	0	0
LOC107987012	2	0	0	1	0
LOC101928438	4	2	6	25	5
LOC124902234	0	0	0	2	0
NR4A3	1046	80	108	820	1111
STX17-DT	7	6	0	11	8
STX17	979	809	611	1242	1540
ERP44	6793	1774	1608	1391	2072
LOC105376176	25	1	8	11	7
INVS	504	339	416	240	394
LOC124902235	10	2	13	4	3
TEX10	2644	471	904	1620	1570
LOC105376177	68	31	41	36	64
MSANTD3	523	203	632	506	600
MSANTD3-TMEFF1	0	0	0	0	0
LOC124902237	2	0	0	1	1
TMEFF1	53	74	149	139	68
CAVIN4	97	465	168	6282	2851
LOC105376179	0	0	0	0	0
LOC105376180	0	0	0	0	0
LOC105376181	0	0	0	0	0
PLPPR1	4	8	9	129	39
LOC105376183	3	0	1	1	4
LOC105376182	3	0	2	1	0
LOC124902238	0	0	0	0	0
BAAT	23	0	8	12	5
MRPL50	1139	407	638	1439	1158
ZNF189	1667	465	644	1225	1263
ALDOB	14	2	1	17	12
LOC105376184	0	0	0	0	0
TMEM246-AS1	1	0	0	0	1
PGAP4	75	231	131	933	695
RNF20	1877	1415	1216	3825	2700
GRIN3A	10	9	12	497	80
PPP3R2	3	0	0	6	0
LOC105376186	3	0	1	2	0
LOC105376187	0	0	0	0	0
LOC105376188	2	0	0	0	0
LOC105376190	1	0	0	0	0
LINC00587	0	0	0	1	0
CYLC2	6	0	0	215	28
LOC105376191	0	0	0	0	0
LINC01492	4	0	0	1	0
LOC105376192	0	0	0	0	0
LOC105376193	0	0	0	0	0
LINC03094	0	0	0	0	0
SMC2-DT	0	2	1	10	13
SMC2	1568	557	1356	3200	2068
LOC105376194	4	0	0	0	0
LOC105376195	0	0	0	0	0
OR13F1	1	0	1	0	0
OR13C4	1	0	0	0	0
LOC107987105	6	0	0	0	0
OR13C3	0	0	1	0	0
OR13C8	0	0	1	0	0
OR13C5	1	0	0	0	0
OR13C2	0	0	2	0	0
OR13C9	0	0	1	0	0
OR13D1	0	0	0	0	0
NIPSNAP3A	391	475	450	1092	1348
NIPSNAP3B	46	146	44	472	435
ABCA1	1066	2689	1125	1056	2662
LOC124902239	0	0	0	0	0
LOC105376196	14	38	7	29	36
CT70	0	2	0	1	1
LOC105376197	0	0	0	1	0
LOC112268038	9	1	5	5	4
SLC44A1	417	945	660	636	920
FSD1L	153	112	209	812	502
RALGAPA1P1	33	10	20	26	28
FKTN-AS1	2	0	0	2	2
FKTN	515	458	499	645	739
TAL2	11	0	9	3	5
TMEM38B	726	226	308	1000	1022
LOC107987107	1	0	0	1	5
LOC107987108	2	6	0	6	11
